hatter,48
invention,8
tune,1
opinion,1
pence,1
rapidly,1
salmon,1
hills,1
roll,1
lullaby,2
week,6
ridges,1
tie,1
ceiling,4
place,18
tulgey,1
proper,5
trampled,1
beckoned,1
remembering,1
possible,4
answer',1
front-door,1
drawl,1
mind,24
throne,1
d',1
loneliness,1
lying,16
he,324
shine,1
told,9
line:,1
dipped,2
shop,7
coward',1
joined:,1
brave,2
bushy,1
burbled,1
hollow,2
screams,1
emom,1
mutton-pies,1
doesnt,11
river,1
pennyworth,2
spoil,1
footsteps,2
done,28
pig-baby,1
wig,1
shelf:,1
hear:,1
pleasure,3
arched,1
boxed,1
having,20
see',4
shoes',2
pretended,2
once:,2
shaking,9
custody,2
listening:,1
pegs,3
'seals,1
shadows,1
lobster,7
whispering,1
needles,7
fallen,5
steam-engine,3
beseech,1
vinegar,2
chorus,11
tripping,1
nine,8
so,342
square,12
often,12
oyster-shells,1
egg',1
dozing,1
venture,5
coin,1
sing,10
fur,3
tweedledee,24
away:,3
hedge,1
deserved,2
globe,1
bee,3
forget,4
appeared,9
wasting,3
i',3
sprawling,1
beard,2
'found,2
wore,1
father,6
fast:,1
mustard-mine,1
denies,1
flinging,1
means:,1
hatter',1
forks,1
fine,4
tuesdays,1
rushed,2
open,19
pitied,1
longing,1
child-life,1
gardens,3
sleepy,9
quadrille',1
deed,1
friends,3
pause,8
kinder,1
top,20
oldest,1
clasped,3
angrily,12
hill,12
guessing,1
hill:,2
occurred,2
cucumber-frame,1
welcome,3
notion,4
deepest,2
messenger,12
broad,1
post,1
mounted,2
perhaps,19
snow,5
whenever,7
think,97
remaining,1
christmas',1
leading,1
eating,4
observe,2
snap-dragon-flies,1
watching,12
rose,9
honour',2
rightly,1
impatiently,10
gentle,5
looking,71
enough,32
beloved,1
sorted,1
yourself,17
talk:,1
whatever',2
game,16
hansom-cabs,1
assembled,2
count,2
nicely,4
dinah:,1
becoming,1
plan,10
'with,1
quick,9
noticing,3
themselves,4
finger,13
cleverest,1
tears,20
treacle',1
stamp,1
aloud,9
question:,1
i've,20
turk,1
telescope',1
splendidly,1
well,101
nothing,57
shady,1
hearts,8
divides,1
lessen,1
feeble,2
wood',1
wagging,1
warning',1
difficulty,8
'herald,1
song,19
excuses,2
certain,10
hatter's,1
flashed,1
learn',1
fire-irons,3
disgust,2
proceed,1
suppose',3
noises,1
advisable,2
happening,2
nap:,1
sky,5
meeting,1
commits,1
bit',4
begun:,1
decidedly:,2
hear,33
lumps,1
a,1375
hers,5
painting,2
merrily,2
lock,1
interesting,6
settling,1
hush,1
isn't,6
rises,1
sense,5
bottom,4
haigha,10
baby',1
part',1
setting,2
list,5
rivers,1
tomorrow,1
feasts,2
mabel,4
embroidered,1
fourth,3
battle,7
alone,8
glue,2
such,76
discontented,2
sliding,1
never,100
swept,2
snorted,1
faster,13
respect,1
shyly,2
half-an-hour,1
shudder,2
distinct,1
weight,1
remarkable,2
threw,3
bright-eyed,1
pudding,12
directions,6
roughly,1
knocking',2
___,1
grin',2
returning,1
'by-the-bye,1
irritation,1
getting,49
beauty,1
bending,1
best,29
therefore,1
and,1708
'wow,2
swallow,1
treacle,3
positively,1
tall,2
push,2
'mouse,1
described,2
thinking,24
court',2
'nine,1
beating,3
save,3
oil,1
rattlesnake,1
cakes',1
refreshments,1
clever',1
trusts,1
clothes,2
'one,5
did',4
snout,1
forty-two,1
toothache,1
accounting,1
kiss,3
'call,4
faces,10
scrambling,3
to-night,1
wheres,1
stupidly,1
modern,1
pleasantly,1
knave,9
unicorn,21
executioner's,1
undertone,2
'really,3
spades,1
working,2
grasshopper,1
are,120
crashing,1
officer,1
drunk,2
croquet',3
passion,5
let's,3
readily:,2
memories,1
everything,19
knocked,4
hope,17
being,41
other:,3
meanings,1
character,1
assure,2
quiver,1
dye,3
exclaimed,14
what',5
low:,1
master,4
'where,1
'alice',1
raving,2
stockings,1
lowing,1
stumbled,2
bottles,1
elegant,1
'his,1
noble,2
missed,4
cause,6
unwound,2
compliment,2
refreshments',1
pigs,4
heard',1
cross-examine,2
'as,7
'once',1
chooses,1
relate,1
doorway,2
groan,1
from',2
yelp,1
handing,1
fish:,1
angrily:,1
suppose,32
happens',1
lower,2
pet,1
shedding,1
shoulders,4
governess,2
outgrabing,1
bristling,1
somethings,1
table',1
admire,1
check,4
belt,4
tells,2
scaly,1
vii,2
warm,3
room',2
cats,10
tar-barrel,1
'fifteenth',1
drawling,2
chains,1
like,201
progress,1
pins,2
things,75
excusing,1
jelly-fish,1
winter,3
vain,2
larger,10
tiger-lily,11
upon,41
breakfast,2
collected,2
agree,3
'he,7
encourage,2
weeks',1
selfish,1
temper,11
unhappiness,1
spell,2
this:,6
'we're,1
series,2
immediate,1
'here,2
gently,17
very,287
toffee,1
contemptuously,4
sending,2
screamed,6
winter:,1
turtle's,2
longer',1
cry,11
quarrelled,1
crab,7
remarked:,4
contemptuous,1
another,53
either,13
paws,5
ships,1
joining,1
nile,1
terms,1
knows,3
deal,20
certainly:,2
eldest,2
language,3
excuse,3
brain,1
disobey,1
principally,1
fly,4
today,1
uncommonly,1
altogether,6
hobbled,2
asking,10
alone',1
counter,3
backs,1
v,2
blinking,1
sigh:,2
pencil,4
dish:,1
croqueting,1
explained:,1
didnt,38
more,108
snicker-snack,1
changes,2
ladys,1
give,23
no,143
neatly,2
feet,36
contented,1
afraid,26
raising,1
twelfth',1
proudest,1
leads,2
stoop,2
clock,4
rolled,5
lost:,1
'if,21
blue:,1
lines',1
once,48
bough-wough,1
pay,2
natural,7
smaller,3
whiskers',1
baby:,1
upright,3
dull',1
fall,18
soles,1
arguing,1
something',1
child',4
askance,1
girl,6
licking,2
magpie,1
edgar,1
'poor,1
few,16
opportunity,10
easy:,2
quicker,1
out:,3
absence,1
leap,1
plaster,2
time',8
repainted,1
are',2
finding,5
chicken,2
heres,4
sobbing',1
rabbit:,1
'what's,3
be',7
denied,2
alive,7
gallons,1
wasnt,12
itll,11
broiling,1
weve,7
'begin,1
'till,2
fellows,1
croquet-ground,3
execution,2
fury:,1
sell',1
fond,7
haunts,1
liked,8
'shan't',1
[youre,1
mixed,2
lessons:,1
bed,2
'because,3
'thinking,1
unhappy,5
[she,1
holding,11
rattle,7
'in,8
australia',1
'can't,1
hearth-rugs,1
stairs',1
it's,33
twice,10
carrier',1
overheard,1
crowds,1
louder,2
glasses,3
france,1
brandishing,1
say,98
messengers,4
present',1
thousand,9
cakes,3
nearer,6
tarts,7
'nothing',1
currants,1
hadn't,7
fastened,3
impatiently:,2
plan',2
imagine,2
course,53
arrived:,1
shiver,1
fits,1
slates,7
ever:,1
'the,21
annoyed,1
spoon,1
sal-volatile,1
was,706
doubtfully:,2
lory,7
luckily,3
choice,2
return,3
remedies,1
growled,4
ditto,3
gardeners,8
eight,2
perplexity,1
table:,1
rushes,10
sharp,9
wonder,30
cravat,3
seat,1
'seven,1
rock,2
didn't,11
_i_,20
spot',1
clutched,1
caterpillar,27
'soles,1
'an,1
chance,7
don't',1
drowned,2
grinning,2
curious,25
skipping,1
wax-works,2
prettiest,1
unicorns,1
wilderness,1
ii,2
consented,1
went,171
gust,1
pushed,2
see,146
young,10
cheaper,1
fig',1
elephants,2
toves,5
darted,1
snail,3
sulky,6
upside-down,2
'dear,1
would',1
one,238
thought:,6
corrected,3
dinah,19
dreamily,2
writing-desks,1
mouths,4
frontispiece,1
now,118
bee:,1
ink,5
before',4
sorts,5
mostly,3
heavy,8
eat,20
grief,1
piece,10
pie,3
'will,1
smiled,8
waste,1
honour,3
hiss,1
